year,annual_dynamic_GWP100_kgCO2e_per_fu_GEN,annual_dynamic_GWP100_kgCO2e_case_total_GEN,cumulative_dynamic_GWP100_kgCO2e_per_fu_GEN,cumulative_dynamic_GWP100_kgCO2e_case_total_GEN,annual_dynamic_GWP100_kgCO2e_per_fu_BAU,annual_dynamic_GWP100_kgCO2e_case_total_BAU,cumulative_dynamic_GWP100_kgCO2e_per_fu_BAU,cumulative_dynamic_GWP100_kgCO2e_case_total_BAU,annual_difference_GEN_minus_BAU_kgCO2e_per_fu,annual_difference_GEN_minus_BAU_kgCO2e_case_total,cumulative_difference_GEN_minus_BAU_kgCO2e_per_fu,cumulative_difference_GEN_minus_BAU_kgCO2e_case_total
2025,0.0410825237415867,3671742.58071759,0.0410825237415867,3671742.58071759,0.0027453122392522,245361.74821275056,0.0027453122392522,245361.74821275056,0.038337211502334496,3426380.8325048396,0.038337211502334496,3426380.8325048396
2026,0.0032197363720786,287763.3129456306,0.0443022601136654,3959505.8936632206,0.0078635274290365,702801.2367849527,0.0106088396682888,948162.9849977032,-0.0046437910569579,-415037.9238393221,0.0336934204453766,3011342.9086655173
2027,0.0029989504241993,268030.61173302477,0.0473012105378648,4227536.505396245,0.0074124050264903,662482.2596704147,0.0180212446947792,1610645.244668118,-0.004413454602291,-394451.64793738996,0.029279965843085596,2616891.2607281273
2028,0.0027779246083565,248276.4723677642,0.0500791351462214,4475812.9777640095,0.0069607765040311,622118.0481869455,0.0249820211988103,2232763.2928550635,-0.0041828518956746,-373841.5758191813,0.025097113947411098,2243049.684908946
2029,0.0025596914505156,228771.9262690559,0.052638826596737,4704584.904033066,0.0065147089245418,582250.8449014114,0.0314967301233522,2815014.137756475,-0.0039550174740262,-353478.9186323555,0.021142096473384803,1889570.766276591
2030,0.0023471988508884,209780.4414458246,0.0549860254476255,4914365.34547889,0.0060801001133215,543407.7668045039,0.0375768302366738,3358421.9045609785,-0.0037329012624331003,-333627.3253586793,0.017409195210951703,1555943.440917912
2031,0.0021345595054999,190775.84124867097,0.0571205849531255,5105141.186727561,0.0056451701262245,504535.9836759877,0.0432220003628983,3862957.888236966,-0.0035106106207246,-313760.14242731675,0.013898584590227199,1242183.298490595
2032,0.0019247430687868,172023.53796613845,0.0590453280219123,5277164.7246937,0.0052158602618652,466166.4979256668,0.0484378606247636,4329124.386162633,-0.0032911171930783997,-294142.95995952835,0.010607467397148698,948040.3385310667
2033,0.0017206339449234,153781.32466112508,0.0607659619668357,5430946.049354825,0.0047979413304392,428815.0745940115,0.0532358019552029,4757939.460756645,-0.0030773073855158003,-275033.7499328864,0.0075301600116328,673006.5885981806
2034,0.0015164738063125,135534.55192296632,0.0622824357731482,5566480.601277792,0.0043798912542739,391451.9302267447,0.0576156932094768,5149391.39098339,-0.0028634174479614,-255917.37830377836,0.004666742563671403,417089.2102944022
