year,annual_radiative_forcing_W_per_m2_per_fu_GEN,annual_radiative_forcing_W_per_m2_case_total_GEN,cumulative_discrete_annual_rf_Wyr_per_m2_per_fu_GEN,cumulative_discrete_annual_rf_Wyr_per_m2_case_total_GEN,annual_radiative_forcing_W_per_m2_per_fu_BAU,annual_radiative_forcing_W_per_m2_case_total_BAU,cumulative_discrete_annual_rf_Wyr_per_m2_per_fu_BAU,cumulative_discrete_annual_rf_Wyr_per_m2_case_total_BAU,annual_difference_GEN_minus_BAU_W_per_m2_per_fu,annual_difference_GEN_minus_BAU_W_per_m2_case_total,cumulative_difference_GEN_minus_BAU_Wyr_per_m2_per_fu,cumulative_difference_GEN_minus_BAU_Wyr_per_m2_case_total
2025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026,8.278781117162471e-17,7.399144545142813e-09,8.278781117162471e-17,7.399144545142813e-09,5.742957604928726e-18,5.13275720593748e-10,5.742957604928726e-18,5.13275720593748e-10,7.704485356669598e-17,6.885868824549065e-09,7.704485356669598e-17,6.885868824549065e-09
2027,8.482695865155055e-17,7.581392955135884e-09,1.6761476982317526e-16,1.4980537500278697e-08,2.4010172829812478e-17,2.145904533619725e-09,2.97531304347412e-17,2.659180254213473e-09,6.081678582173807e-17,5.435488421516159e-09,1.3786163938843404e-16,1.2321357246065225e-08
2028,1.7508696943383404e-16,1.5648363889296383e-08,3.427017392570093e-16,3.062890138957508e-08,9.436210533987363e-17,8.433594838572365e-09,1.2411523577461482e-16,1.1092775092785838e-08,8.072486409396041e-17,7.214769050724018e-09,2.1858650348239447e-16,1.9536126296789245e-08
2029,1.827516119296491e-17,1.6333389823800342e-09,3.609769004499742e-16,3.2262240371955115e-08,4.631942733075141e-17,4.1397898219337885e-09,1.7043466310536623e-16,1.5232564914719626e-08,-2.80442661377865e-17,-2.5064508395537544e-09,1.9054223734460799e-16,1.702967545723549e-08
2030,8.29379485067903e-17,7.412563040314885e-09,4.439148489567645e-16,3.967480341227e-08,4.943550630137546e-17,4.418288774755839e-09,2.1987016940674167e-16,1.9650853689475463e-08,3.350244220541484e-17,2.9942742655590464e-09,2.2404467955002283e-16,2.002394972279454e-08
2031,8.488714273199537e-17,7.586771895637217e-09,5.288019916887599e-16,4.726157530790721e-08,6.205602128781015e-17,5.546244850622928e-09,2.819261906945518e-16,2.5197098540098398e-08,2.2831121444185225e-17,2.0405270450142885e-09,2.4687580099420805e-16,2.2064476767808815e-08
2032,1.7886790591683716e-16,1.598628435316453e-08,7.076698976055972e-16,6.324785966107175e-08,1.6783794830328427e-16,1.5000484033594677e-08,4.497641389978361e-16,4.019758257369307e-08,1.102995761355289e-17,9.85800319569853e-10,2.5790575860776104e-16,2.3050277087378678e-08
2033,2.8021065246620577e-17,2.504377264411672e-09,7.356909628522178e-16,6.57522369254834e-08,7.349988176266551e-17,6.569037658037114e-09,5.232640207605018e-16,4.6766620231730184e-08,-4.5478816516044935e-17,-4.064660393625441e-09,2.12426942091716e-16,1.8985616693753222e-08
2034,8.211196227899477e-17,7.338740681621447e-09,8.178029251312126e-16,7.309097760710485e-08,7.429313619201024e-17,6.639934618600895e-09,5.975571569525119e-16,5.340655485033108e-08,7.81882608698453e-18,6.98806063020552e-10,2.2024576817870067e-16,1.9684422756773773e-08
2035,8.331383970395434e-17,7.4461582430591375e-09,9.011167648351669e-16,8.053713585016399e-08,8.278077904293452e-17,7.3985160500068484e-09,6.803379359954464e-16,6.080507090033793e-08,5.330606610198173e-19,4.7642193052289107e-11,2.2077882883972043e-16,1.973206494982606e-08
2036,1.7574665081144896e-16,1.57073227843032e-08,1.0768634156466158e-15,9.62444586344672e-08,2.0529803896045055e-16,1.8348472360909312e-08,8.85635974955897e-16,7.915354326124724e-08,-2.955138814900159e-17,-2.641149576606113e-09,1.9122744069071874e-16,1.709091537321996e-08
2037,3.1576147931894255e-17,2.82211208897109e-09,1.1084395635785101e-15,9.906657072343829e-08,8.696570416236132e-17,7.772542919796238e-09,9.726016791182584e-16,8.692608618104347e-08,-5.538955623046706e-17,-4.950430830825148e-09,1.3583788446025175e-16,1.2140484542394818e-08
2038,7.871039014580366e-17,7.034725832840939e-09,1.1871499537243137e-15,1.0610129655627923e-07,8.561579010832335e-17,7.65189461338504e-09,1.0582174692265818e-15,9.457798079442853e-08,-6.90539996251969e-18,-6.171687805441014e-10,1.2893248449773192e-16,1.1523315761850703e-08
2039,7.895826293925804e-17,7.056879415616247e-09,1.2661082166635717e-15,1.1315817597189546e-07,9.079795882682272e-17,8.115049936165653e-09,1.1490154280534046e-15,1.0269303073059417e-07,-1.1839695887564677e-17,-1.0581705205494056e-09,1.170927886101671e-16,1.0465145241301295e-08
2040,1.6509500113682952e-16,1.4755333663303882e-08,1.4312032178004013e-15,1.2791350963519933e-07,2.156025248500412e-16,1.9269433786044783e-08,1.3646179529034458e-15,1.2196246451663894e-07,-5.050752371321168e-17,-4.514100122740901e-09,6.658526489695547e-17,5.951045118560395e-09
2041,3.042640567789987e-17,2.7193540983131783e-09,1.4616296234783012e-15,1.3063286373351254e-07,8.981073051837029e-17,8.026816597828523e-09,1.454428683421816e-15,1.2998928111446745e-07,-5.938432484047042e-17,-5.307462499515344e-09,7.200940056485228e-18,6.435826190450908e-10
2042,7.289046737594046e-17,6.5145713655786695e-09,1.5345200908542416e-15,1.371474350990912e-07,8.723115119678733e-17,7.796267196945273e-09,1.5416598346186034e-15,1.3778554831141276e-07,-1.4340683820846873e-17,-1.2816958313666038e-09,-7.139743764361805e-18,-6.381132123215618e-10
2043,7.289525694312715e-17,6.514999432215793e-09,1.6074153477973689e-15,1.4366243453130697e-07,9.112689969607374e-17,8.144448962470959e-09,1.6327867343146773e-15,1.4592999727388368e-07,-1.8231642752946588e-17,-1.629449530255166e-09,-2.537138651730848e-17,-2.2675627425767154e-09
2044,1.527436013737847e-16,1.3651429708262066e-08,1.7601589491711537e-15,1.5731386423956907e-07,2.1602709719943464e-16,1.9307379857315107e-08,1.848813831514112e-15,1.652373771311988e-07,-6.328349582564993e-17,-5.655950149053041e-09,-8.865488234295819e-17,-7.923512891629724e-09
