year,GEN_PkBudg1000_cumulative_Mkg,REF_PkBudg1000_cumulative_Mkg,GEN_NPi_cumulative_Mkg,REF_NPi_cumulative_Mkg
2025,3.6717425883836596,0.24536174855683457,3.629717072027121,0.24150604685283691
2026,3.9595059012123976,0.9481629918503635,3.9086081844269667,0.9280563368053629
2027,4.227536512829323,1.6106452575541101,4.171335894027771,1.5814528382687871
2028,4.475812985081786,2.232763311299095,4.417882761118251,2.2016584313347174
2029,4.7045849112363465,2.8150141612897377,4.648448662093725,2.789070306383366
2030,4.914365352568488,3.3584219327274814,4.863444706759143,3.3445078108214856
2031,5.105141193704296,3.862957920580887,5.062860102560535,3.8679469890414047
2032,5.277164731558395,4.329124422234703,5.246896852894212,4.359789161537833
2033,5.430946056108315,4.75793950012034,5.415963629498416,4.820848681740039
2034,5.566480607920913,5.149391433202576,5.570056469942109,5.251115111990568
2035,5.684023584880396,5.503988190498041,5.709379658589291,5.650994198059516
2036,5.784082264294219,5.822742076172042,5.8343395517771555,6.021295531435735
2037,5.866660901501725,6.105658857497576,5.944939220147115,6.362022584239897
2038,5.932017817151549,6.353252604728479,6.041385401980194,6.673585858744065
2039,5.980657657549688,6.566530212440838,6.12408227866751,6.9567904500939095
2040,6.01886188584343,6.745515497893079,6.200390003212088,7.2116541760213515
2041,6.047553958970631,6.917201856508133,6.261917191107467,7.450754046157035
2042,6.073052178619056,7.081685259395394,6.316124736599926,7.674309833172365
2043,6.0954069615544295,7.23906204991567,6.363124202882925,7.882542235061033
2044,6.1146689499777285,7.389428952912793,6.403027658951025,8.075672899969483
2045,6.130889017615717,7.561408086398571,6.435947693798002,8.289073528078056
2046,6.145913773433904,7.701670889658286,6.464828012510156,8.458333984541492
2047,6.159761955560772,7.838774768851165,6.489733491599134,8.618730402906799
2048,6.172452388683279,7.972752218519394,6.510729323142709,8.770390399426022
2049,6.1840039864725975,8.103635825222467,6.527881024117037,8.913442164553068
2050,6.220042178941848,8.231458269086701,6.579532917163986,9.04801447914874
2051,6.2301409689570475,8.357759426652452,6.592357981070933,9.180557292126359
2052,6.239911079664085,8.482543467886755,6.604642699710289,9.311083542694302
2053,6.249356826665125,8.605814500739259,6.616395121802275,9.439606151828873
2054,6.258482543306345,8.727576567664254,6.627623332882205,9.566138019988129
2055,6.271537195397839,8.847833641896592,6.643743799867175,9.690692024626172
2056,6.2802539828901,8.96697139876829,6.6543437049891825,9.814094067523918
2057,6.2888771522059255,9.084985133148853,6.664830946900471,9.936339287964547
2058,6.297406326964948,9.201870007662542,6.675205070170291,10.057422687528733
2059,6.305841121911487,9.317621046275065,6.685465608443732,10.177339123352075
2060,6.314181142583833,9.43223312745259,6.695612084021992,10.296083300929801
2061,6.322425984966231,9.5457009768591,6.705644007419915,10.413649766432584
2062,6.330575235122364,9.658019159555078,6.715560876899147,10.53003289849424
2063,6.338628468809012,9.76918207165745,6.725362177975183,10.645226899428666
2064,6.346585251068496,9.879183931417161,6.735047382896374,10.759225785829745
2065,6.354445135798346,10.008780973595439,6.7446159500928555,10.89896087707588
2066,6.362207665296558,10.116442623516685,6.754067323593129,11.010550790252353
2067,6.369872369780612,10.222924709668487,6.763400932405887,11.120926420012385
2068,6.377438766878305,10.328220636219264,6.7726161898644275,11.230080931871768
2069,6.384906361088267,10.432323574313768,6.781712492930806,11.338007247447074
2070,6.395837472665372,10.53522644850386,6.795228089615545,11.444698030128745
2071,6.403105919183331,10.636921922164492,6.804084605555677,11.550145669677791
2072,6.4102739916347105,10.73740238180957,6.812820252132045,11.654342265655321
2073,6.417341135914712,10.836659920214567,6.821434352942297,11.757279609586117
2074,6.42430678154845,10.93468631824455,6.829926211009799,11.85894916574845
2075,6.353957058298272,11.031284998879253,6.759581482280239,11.959131223474241
