year,GEN_PkBudg1000_cumulative_RFe7,REF_PkBudg1000_cumulative_RFe7,GEN_NPi_cumulative_RFe7,REF_NPi_cumulative_RFe7
2025,0.0,0.0,,
2026,0.07399144545142813,0.0051327572059374806,0.07355598479579215,0.005060849730227878
2027,0.14980537500278698,0.026591802542134734,0.14872549628453932,0.026081567661334792
2028,0.30628901389575086,0.11092775092785839,0.3036745692590855,0.10921150580544196
2029,0.32262240371955114,0.15232564914719626,0.31967122331294945,0.15010458575754057
2030,0.39674803412270004,0.19650853689475464,0.3932705227497416,0.19418864440478445
2031,0.47261575307907217,0.251970985400984,0.46867680853713434,0.24973978509270933
2032,0.6324785966107175,0.40197582573693075,0.6281535024485824,0.40121212020145186
2033,0.6575223692548341,0.4676662023173019,0.6534906339125307,0.46779481517269544
2034,0.7309097760710486,0.5340655485033109,0.7271821415348827,0.5359161396445441
2035,0.80537135850164,0.6080507090033793,0.8022462445547606,0.6122745284194399
2036,0.9624445863446721,0.7915354326124724,0.9619993695094994,0.8036995543111419
2037,0.990665707234383,0.8692608618104348,0.9919060223919645,0.885217607575313
2038,1.0610129655627925,0.9457798079442854,1.0641321791289278,0.9667485704566477
2039,1.1315817597189546,1.0269303073059417,1.1370860813681278,1.0539728331144564
2040,1.2791350963519934,1.2196246451663895,1.2919962828554283,1.2642001441310224
2041,1.3063286373351255,1.2998928111446746,1.322927342024477,1.3524186803137916
2042,1.371474350990912,1.3778554831141276,1.391984224082202,1.4395295238179278
2043,1.4366243453130698,1.459299972738837,1.4613682456536838,1.530813030993825
2044,1.573138642395691,1.652373771311988,1.6083350481469798,1.7478496641622194
2045,1.5983588188148568,1.7330464662187002,1.6383292744009474,1.8386378599889042
2046,1.6589663171794362,1.8122932336958115,1.7035281519928651,1.9286594667452301
2047,1.7196538245443878,1.8946587988667065,1.7688466113378825,2.02190341738017
2048,1.8472402938969805,2.0895620979641163,1.907146581113148,2.241740582441839
2049,1.870772370156649,2.170781995633966,1.935451749600901,2.333135275640572
2050,1.9277783186052924,2.2507460026646693,1.9968429905650449,2.42347584536936
2051,1.985595512852029,2.333697706945728,2.059229533366846,2.516533518713854
2052,2.107316599266925,2.530191389052686,2.1911398697318427,2.73572961235953
2053,2.1300524869272492,2.6123621336392633,2.2184482207860228,2.827155523973578
2054,2.184214990149341,2.693502478334949,2.2765382166030106,2.917743883369258
2055,2.2391443629192684,2.777597849674582,2.3355396459890327,3.011070999604071
2056,2.3553887188275633,2.976981584197615,2.461028008932414,3.231309561188266
2057,2.377151774245373,3.060577197001918,2.4870033477006173,3.323470404133631
2058,2.429175584622455,3.1433260337935818,2.542655376877513,3.4149809915452622
2059,2.4818683301007916,3.2290067582235817,2.599082988626743,3.509262943542125
2060,2.593660579661753,3.432256027863591,2.719434745168134,3.732077239231206
2061,2.6462276841541446,3.5197260836460935,2.775537059081955,3.8276009263216966
2062,2.667297752159796,3.608156890373702,2.8003523364614575,3.9242205072480307
2063,2.7180814572844607,3.6954411084342396,2.8546760935804034,4.019730457911989
2064,2.824110596733447,3.897671720693691,2.968849803728996,4.240707308358874
2065,2.8770726404286813,3.992036890502312,3.0251887466961644,4.342833144126715
2066,2.8974807267707283,4.0827546026169035,3.0492157426739492,4.441669819521271
2067,2.9467036517674643,4.1724164104787,3.1018550645075265,4.539493216848042
2068,3.048345029081528,4.376508984908711,3.211251989920397,4.761870334169464
2069,3.1013227042991214,4.476551556255968,3.2676209666471867,4.869711269969304
2070,3.1212127929012965,4.56899964489032,3.2910502630295424,4.970056749817066
2071,3.169251526296942,4.660516102947528,3.3424600111341225,5.0695315786122395
2072,3.2678780967602896,4.866896734376485,3.448493431946193,5.2932837554891705
2073,3.3205486915285776,4.97141835545957,3.504746836957329,5.405935639877397
2074,3.3400296126126956,5.065774140141922,3.5277195805065764,5.508049401079361
2075,3.3869525822548074,5.159296232181388,3.5779633802778426,5.6094011956828895
2076,3.478629396410254,5.365688814514881,3.6764436413746875,5.83201297955483
2077,3.5283065979831494,5.470226263628145,3.729843398842276,5.944991709429464
2078,3.54520609892119,5.559744369825993,3.750002987016303,6.041737462063377
2079,3.59067469676431,5.645178762434541,3.798554181640379,6.134333768946526
2080,3.6800708518538396,5.832572790072118,3.8941225133920634,6.336220969747354
2081,3.728806160099319,5.9316136008848,3.946557486095299,6.443564966282468
2082,3.7453091857343423,6.014567795048294,3.9661408600275125,6.533156615321753
2083,3.789587395685935,6.094246028621561,4.01332438913486,6.619500051615325
2084,3.8768848036292822,6.267801519156913,4.1063895250696465,6.806408331722669
2085,3.924704350823493,6.362757201553383,4.157814319874236,6.909358198294538
2086,3.9410869126931662,6.441048384765113,4.1772622965978705,6.9938764769139
2087,3.9840820050231316,6.516415855196152,4.222910602181003,7.075564767581586
2088,4.069487497814341,6.679349785363032,4.313825752498764,7.251097859520596
2089,4.116464728981264,6.771348515722542,4.364308022081448,7.350798371322513
2090,4.132487300282553,6.846047056924673,4.383291391537522,7.4314414735847345
2091,4.174651558482104,6.91805888860634,4.428029035035965,7.5095014267029585
2092,4.258304728149663,7.072512782190159,4.516972980374743,7.67597147221272
2093,4.304524219633419,7.162344440177392,4.566613677172114,7.7732663865623755
2094,4.346359871012233,7.235912053294237,4.610984117341667,7.85252815947597
2095,4.363568132506209,7.308245263881996,4.630971983170639,7.930610889023482
2096,4.443721491998228,7.450997324590326,4.716301491570879,8.08501675251189
2097,4.4892633360407865,7.53923419361482,4.765196253872458,8.18052570015677
2098,4.53201243853947,7.614447262778136,4.810427274740167,8.261284305593952
2099,4.54876360047605,7.684303113644108,4.829911707192251,8.33676129962201
2100,4.588587608973128,7.753006897198499,4.872271542277698,8.411151165030109
2101,4.6289870137645766,7.8249372897455425,4.915198619765609,8.48873605483774
2102,4.671214938606678,7.90749571602762,4.960693574080699,8.578411028636953
2103,4.716188478438074,7.996899940415676,5.008989323274302,8.675045317257622
2104,4.7696671318187915,8.115133008902758,5.066836249822202,8.802614363298842
