case,stage,component_code,component_name,exchange_type,input_database,input_code,input_name,amount_per_kwh_th,quantity_per_FU,unit,normalization_basis,inclusion_status
GEN,A,GEN_A1A5_construction,GEN A1-A5 construction & installation (non-B6),technosphere,ecoinvent_2025_SSP2-PkBudg1000,a3bf440de6824f33b807512849bd6264,"heat pump production, brine-water, 10kW",1.4719145367530752e-06,131.55207586,unit,"89,374,805.789 kWh_th lifetime delivered service",modeled_in_core_LCIA
GEN,A,GEN_A1A5_construction,GEN A1-A5 construction & installation (non-B6),technosphere,ecoinvent_2025_SSP2-PkBudg1000,20b7ed15ddd2446ba2d73a25bc686d06,market for bentonite,0.0044729053398418,399765.04606,kilogram,"89,374,805.789 kWh_th lifetime delivered service",modeled_in_core_LCIA
GEN,A,GEN_A1A5_construction,GEN A1-A5 construction & installation (non-B6),technosphere,ecoinvent_2025_SSP2-PkBudg1000,2a78e7784fd74dab83d5886295074aaa,"market for building, hall, steel construction",6.713301301240638e-07,60.0,square meter,"89,374,805.789 kWh_th lifetime delivered service",modeled_in_core_LCIA
GEN,A,GEN_A1A5_construction,GEN A1-A5 construction & installation (non-B6),technosphere,ecoinvent_2025_SSP2-PkBudg1000,1822772cf0ae493da8b28da946bba1d9,"market for diesel, burned in building machine",0.3215347289023708,28737103.95,megajoule,"89,374,805.789 kWh_th lifetime delivered service",modeled_in_core_LCIA
GEN,A,GEN_A1A5_construction,GEN A1-A5 construction & installation (non-B6),technosphere,ecoinvent_2025_SSP2-PkBudg1000,ee078d7a051b49a99b8700f257c60f22,"market for extrusion, plastic pipes",0.0004044192367972,36144.890746,kilogram,"89,374,805.789 kWh_th lifetime delivered service",modeled_in_core_LCIA
GEN,A,GEN_A1A5_construction,GEN A1-A5 construction & installation (non-B6),technosphere,ecoinvent_2025_SSP2-PkBudg1000,642f631516cf47d19184bc70ce7d7ff7,"market for gravel, round",0.0002243597886118,20052.112534,kilogram,"89,374,805.789 kWh_th lifetime delivered service",modeled_in_core_LCIA
GEN,A,GEN_A1A5_construction,GEN A1-A5 construction & installation (non-B6),technosphere,ecoinvent_2025_SSP2-PkBudg1000,405872afd51944e59db7e476720ff9e3,"market for polyethylene, high density, granulate",0.0004044192367972,36144.890746,kilogram,"89,374,805.789 kWh_th lifetime delivered service",modeled_in_core_LCIA
GEN,A,GEN_A1A5_construction,GEN A1-A5 construction & installation (non-B6),technosphere,ecoinvent_2025_SSP2-PkBudg1000,da60c3c633d74cfbb281a41826a0a2f8,"market for propylene glycol, liquid",0.0001986370102996,17753.144217999998,kilogram,"89,374,805.789 kWh_th lifetime delivered service",modeled_in_core_LCIA
GEN,A,GEN_A1A5_construction,GEN A1-A5 construction & installation (non-B6),technosphere,ecoinvent_2025_SSP2-PkBudg1000,1b26819bb7a744ffbaefb4eba07b8e81,"market for pump, 40W",1.5719475635227015e-05,1404.925082,unit,"89,374,805.789 kWh_th lifetime delivered service",modeled_in_core_LCIA
GEN,A,GEN_A1A5_construction,GEN A1-A5 construction & installation (non-B6),technosphere,ecoinvent_2025_SSP2-PkBudg1000,1204ab0914334c0391e916e4f6001ce8,"market for steel, low-alloyed, hot rolled",0.0012091163430833,108064.538339124,kilogram,"89,374,805.789 kWh_th lifetime delivered service",modeled_in_core_LCIA
