species,year,annual,cumulative,case
Biogenic CO2,2025,237180.0647352521,237180.0647352521,GEN
Biogenic CO2,2026,3952.3610300038913,241132.425765256,GEN
Biogenic CO2,2027,3803.7889538771865,244936.21471913316,GEN
Biogenic CO2,2028,3655.2722552836544,248591.48697441682,GEN
Biogenic CO2,2029,3508.6035040962047,252100.09047851304,GEN
Biogenic CO2,2030,3365.5180686120852,255465.6085471251,GEN
Biogenic CO2,2031,3222.548543129591,258688.1570902547,GEN
Biogenic CO2,2032,3081.4449357357244,261769.60202599043,GEN
Biogenic CO2,2033,2943.8996374690655,264713.50166345946,GEN
Biogenic CO2,2034,2806.532272884558,267520.033936344,GEN
Biogenic CO2,2035,2671.0500095023167,270191.08394584636,GEN
Biogenic CO2,2036,2539.1019615247205,272730.1859073711,GEN
Biogenic CO2,2037,2407.39550176223,275137.58140913333,GEN
Biogenic CO2,2038,2277.594666196551,277415.1760753299,GEN
Biogenic CO2,2039,2151.3049787799505,279566.4810541098,GEN
Biogenic CO2,2040,2546.51660005669,282112.99765416654,GEN
Biogenic CO2,2041,1915.2423613694125,284028.2400155359,GEN
Biogenic CO2,2042,1806.8329993221923,285835.0730148581,GEN
Biogenic CO2,2043,1700.1009391098826,287535.173953968,GEN
Biogenic CO2,2044,1595.0530522777146,289130.2270062457,GEN
Biogenic CO2,2045,1491.6963812569736,290621.92338750267,GEN
Biogenic CO2,2046,1412.7816991929844,292034.70508669567,GEN
Biogenic CO2,2047,1335.113436080051,293369.8185227757,GEN
Biogenic CO2,2048,1258.6969550646866,294628.5154778404,GEN
Biogenic CO2,2049,1183.5377571138836,295812.0532349543,GEN
Biogenic CO2,2050,3151.301163756571,298963.3543987109,GEN
Biogenic CO2,2051,1062.3709344122165,300025.72533312306,GEN
Biogenic CO2,2052,1015.8263341878792,301041.55166731094,GEN
Biogenic CO2,2053,970.0109022389952,302011.56256954995,GEN
Biogenic CO2,2054,924.9279417424926,302936.4905112924,GEN
Biogenic CO2,2055,1175.5760841511967,304112.06659544364,GEN
Biogenic CO2,2056,870.4759481784685,304982.5425436221,GEN
Biogenic CO2,2057,860.3332341143426,305842.8757777365,GEN
Biogenic CO2,2058,850.1519246165901,306693.027702353,GEN
Biogenic CO2,2059,839.9312206945763,307532.95892304764,GEN
Biogenic CO2,2060,829.6703018644033,308362.62922491203,GEN
Biogenic CO2,2061,819.3683255503039,309181.9975504623,GEN
Biogenic CO2,2062,809.0244264683679,309991.0219769307,GEN
Biogenic CO2,2063,798.637715991854,310789.65969292255,GEN
Biogenic CO2,2064,788.2072814972125,311577.86697441974,GEN
Biogenic CO2,2065,777.7321856898569,312355.59916010965,GEN
Biogenic CO2,2066,767.2114659085603,313122.81062601815,GEN
Biogenic CO2,2067,756.6441334071937,313879.45475942537,GEN
Biogenic CO2,2068,746.0291726122886,314625.48393203766,GEN
Biogenic CO2,2069,735.3655403546513,315360.8494723923,GEN
Biogenic CO2,2070,967.4111803970084,316328.2606527893,GEN
Biogenic CO2,2071,713.8879459863606,317042.1485987757,GEN
Biogenic CO2,2072,703.0717522343193,317745.22035101,GEN
Biogenic CO2,2073,692.2024219777418,318437.42277298775,GEN
Biogenic CO2,2074,681.2787614590135,319118.70153444674,GEN
Biogenic CO2,2075,518.9305777646568,319637.63211221143,GEN
Biogenic CO2,2076,0.0,319637.63211221143,GEN
Biogenic CO2,2077,0.0,319637.63211221143,GEN
Biogenic CO2,2078,0.0,319637.63211221143,GEN
Biogenic CO2,2079,0.0,319637.63211221143,GEN
Biogenic CO2,2080,0.0,319637.63211221143,GEN
Biogenic CO2,2081,0.0,319637.63211221143,GEN
