species,year,annual,cumulative,case
Biogenic CO2,2026,3.906836088247338e-10,3.906836088247338e-10,GEN
Biogenic CO2,2027,3.7330558637084735e-10,7.639891951955812e-10,GEN
Biogenic CO2,2028,7.087495621446958e-10,1.472738757340277e-09,GEN
Biogenic CO2,2029,1.7008136171549082e-11,1.489746893511826e-09,GEN
Biogenic CO2,2030,3.345974436965379e-10,1.8243443372083639e-09,GEN
Biogenic CO2,2031,3.285796942379715e-10,2.1529240314463352e-09,GEN
Biogenic CO2,2032,6.490809553249756e-10,2.8020049867713107e-09,GEN
Biogenic CO2,2033,2.943768140632588e-11,2.8314426681776367e-09,GEN
Biogenic CO2,2034,3.1150197713463777e-10,3.1429446453122746e-09,GEN
Biogenic CO2,2035,3.0976199635595925e-10,3.452706641668234e-09,GEN
Biogenic CO2,2036,6.24368770731513e-10,4.077075412399747e-09,GEN
Biogenic CO2,2037,3.8788979572199146e-11,4.115864391971946e-09,GEN
Biogenic CO2,2038,3.0077649358624004e-10,4.416640885558186e-09,GEN
Biogenic CO2,2039,3.0051568481795556e-10,4.7171565703761415e-09,GEN
Biogenic CO2,2040,6.127048110429152e-10,5.329861381419057e-09,GEN
Biogenic CO2,2041,4.6635912442901056e-11,5.376497293861958e-09,GEN
Biogenic CO2,2042,2.9517615443830424e-10,5.6716734483002625e-09,GEN
Biogenic CO2,2043,2.952960946165748e-10,5.966969542916837e-09,GEN
Biogenic CO2,2044,6.033332554090573e-10,6.570302798325894e-09,GEN
Biogenic CO2,2045,5.15200578896559e-11,6.62182285621555e-09,GEN
Biogenic CO2,2046,2.8985476139569264e-10,6.911677617611243e-09,GEN
Biogenic CO2,2047,2.9004122097996017e-10,7.201718838591203e-09,GEN
Biogenic CO2,2048,5.945772280248753e-10,7.796296066616078e-09,GEN
Biogenic CO2,2049,5.504308611644486e-11,7.851339152732523e-09,GEN
Biogenic CO2,2050,2.849617859560544e-10,8.136300938688578e-09,GEN
Biogenic CO2,2051,2.8932809755883816e-10,8.425629036247415e-09,GEN
Biogenic CO2,2052,5.935788748388042e-10,9.01920791108622e-09,GEN
Biogenic CO2,2053,6.118306504039926e-11,9.08039097612662e-09,GEN
Biogenic CO2,2054,2.8029729706006814e-10,9.360688273186687e-09,GEN
Biogenic CO2,2055,2.8389388294007535e-10,9.644582156126763e-09,GEN
Biogenic CO2,2056,5.853340902414162e-10,1.022991624636818e-08,GEN
Biogenic CO2,2057,6.337399097898026e-11,1.029329023734716e-08,GEN
Biogenic CO2,2058,2.765887354282439e-10,1.0569878972775402e-08,GEN
Biogenic CO2,2059,2.7943329074833227e-10,1.0849312263523736e-08,GEN
Biogenic CO2,2060,5.776683773606669e-10,1.1426980640884402e-08,GEN
Biogenic CO2,2061,2.777617661858957e-10,1.1704742407070298e-08,GEN
Biogenic CO2,2062,6.409782305539169e-11,1.176884023012569e-08,GEN
Biogenic CO2,2063,2.757773409277175e-10,1.2044617571053407e-08,GEN
Biogenic CO2,2064,5.682689997404756e-10,1.2612886570793883e-08,GEN
Biogenic CO2,2065,2.7786813646137757e-10,1.289075470725526e-08,GEN
Biogenic CO2,2066,6.620401680594132e-11,1.2956958724061202e-08,GEN
Biogenic CO2,2067,2.727647041743021e-10,1.3229723428235504e-08,GEN
Biogenic CO2,2068,5.606121252858362e-10,1.379033555352134e-08,GEN
Biogenic CO2,2069,2.780213310846571e-10,1.4068356884605997e-08,GEN
Biogenic CO2,2070,6.8351866968223e-11,1.4136708751574219e-08,GEN
Biogenic CO2,2071,2.7090642869317795e-10,1.4407615180267399e-08,GEN
Biogenic CO2,2072,5.556031594686227e-10,1.496321833973602e-08,GEN
Biogenic CO2,2073,2.78683834973975e-10,1.5241902174709995e-08,GEN
Biogenic CO2,2074,7.051822875518368e-11,1.531242040346518e-08,GEN
Biogenic CO2,2075,2.6871307487663624e-10,1.5581133478341814e-08,GEN
Biogenic CO2,2076,5.477631837186567e-10,1.612889666206047e-08,GEN
Biogenic CO2,2077,2.764647714288171e-10,1.640536143348929e-08,GEN
Biogenic CO2,2078,6.870077369962015e-11,1.647406220718891e-08,GEN
Biogenic CO2,2079,2.6160207578030227e-10,1.673566428296921e-08,GEN
Biogenic CO2,2080,5.319049081940953e-10,1.7267569191163307e-08,GEN
