year,annual,cumulative,case
2026,7.3555984795792144e-09,7.3555984795792144e-09,GEN
2027,7.516951148874717e-09,1.4872549628453932e-08,GEN
2028,1.5494907297454612e-08,3.0367456925908546e-08,GEN
2029,1.599665405386402e-09,3.1967122331294944e-08,GEN
2030,7.359929943679216e-09,3.932705227497416e-08,GEN
2031,7.540628578739268e-09,4.686768085371343e-08,GEN
2032,1.59476693911448e-08,6.281535024485823e-08,GEN
2033,2.533713146394822e-09,6.534906339125306e-08,GEN
2034,7.369150762235207e-09,7.271821415348826e-08,GEN
2035,7.506410301987787e-09,8.022462445547605e-08,GEN
2036,1.5975312495473874e-08,9.619993695094992e-08,GEN
2037,2.9906652882465193e-09,9.919060223919644e-08,GEN
2038,7.2226156736963235e-09,1.0641321791289277e-07,GEN
2039,7.295390223920011e-09,1.1370860813681278e-07,GEN
2040,1.5491020148730028e-08,1.2919962828554282e-07,GEN
2041,3.0931059169048758e-09,1.322927342024477e-07,GEN
2042,6.905688205772504e-09,1.391984224082202e-07,GEN
2043,6.938402157148178e-09,1.4613682456536837e-07,GEN
2044,1.4696680249329569e-08,1.6083350481469794e-07,GEN
2045,2.9994226253968014e-09,1.6383292744009474e-07,GEN
2046,6.5198877591917315e-09,1.7035281519928648e-07,GEN
2047,6.531845934501766e-09,1.7688466113378825e-07,GEN
2048,1.3829996977526561e-08,1.907146581113148e-07,GEN
2049,2.8305168487752996e-09,1.935451749600901e-07,GEN
2050,6.139124096414369e-09,1.9968429905650446e-07,GEN
2051,6.238654280180092e-09,2.0592295333668456e-07,GEN
2052,1.3191033636499662e-08,2.1911398697318423e-07,GEN
2053,2.730835105418016e-09,2.2184482207860225e-07,GEN
2054,5.8089995816988035e-09,2.2765382166030106e-07,GEN
2055,5.900142938602182e-09,2.3355396459890325e-07,GEN
2056,1.2548836294338114e-08,2.4610280089324135e-07,GEN
2057,2.597533876820386e-09,2.4870033477006173e-07,GEN
2058,5.565202917689531e-09,2.542655376877513e-07,GEN
2059,5.642761174922999e-09,2.599082988626743e-07,GEN
