scenario_id,parameter,level,GEN_dynamic_GWP100_kgCO2e,REF_dynamic_GWP100_kgCO2e,REF_minus_GEN_kgCO2e,GEN_reduction_pct_vs_REF,execution_mode,notes
S1_low,S1 fuel split,low 60/40,7398603.588271715,13197941.263190594,5799337.674918879,43.94122961505659,Brightway B6 rerun + Brightway REF Stage A clone,gas_share=0.60
S1_high,S1 fuel split,high 75/25,7398603.588271715,13087182.998610193,5688579.410338478,43.46679809507197,Brightway B6 rerun + Brightway REF Stage A clone,gas_share=0.75
S2_low,S2 methane leakage,low 1.0%,7398603.588271715,12737501.98373999,5338898.395468276,41.91479932473123,Brightway B6 rerun,leak_rate=0.010
S2_high,S2 methane leakage,high 3.0%,7398603.588271715,13480960.923112242,6082357.334840527,45.11812896373519,Brightway B6 rerun,leak_rate=0.030
S4_low_advantage,S4 efficiency/COP,GEN COP -1; REF efficiency +10%,7980627.198667022,12516018.50712829,4535391.308461268,36.2366938485926,Brightway B6 rerun,GEN space COP=3.98; GEN DHW COP=3.20
S4_high_advantage,S4 efficiency/COP,GEN COP +1; REF efficiency -10%,7014804.714963712,13867312.144046895,6852507.429083183,49.414820679758755,Brightway B6 rerun,GEN space COP=5.98; GEN DHW COP=5.20
S6_cumulative_RF,S6 dynamic metric,cumulative RF,5.627304587992958e-07,9.769723014024835e-07,4.142418426031877e-07,42.40057184922507,accepted Brightway RF trajectory,"Units are W*yr/m2, not kg CO2e."
S7_low,S7 cavern allocation,1 m3,7398603.588271715,13124099.722589793,5725496.134318078,43.62582009692517,Brightway unit-process LCIA delta for REF Stage A excavation,cavern_m3=1.0; excavation_factor=0.541053 kg CO2e/m3
S7_high,S7 cavern allocation,800 m3,7398603.588271715,13124532.024121078,5725928.435849363,43.62767697412675,Brightway unit-process LCIA delta for REF Stage A excavation,cavern_m3=800.0; excavation_factor=0.541053 kg CO2e/m3
S8_75yr,S8 borefield residual life,75 yr,6459112.651578698,13124100.638592912,6664987.987014214,50.78434073733828,Brightway unit-process LCIA delta for GEN long-lived Stage A,GEN_LONGLIVED_LIFE_YEARS=75; long_lived_stage_A_unit_LCIA=2818472.810 kg CO2e
S8_100yr,S8 borefield residual life,100 yr,5989367.18323219,13124100.638592912,7134733.455360722,54.3635990902129,Brightway unit-process LCIA delta for GEN long-lived Stage A,GEN_LONGLIVED_LIFE_YEARS=100; long_lived_stage_A_unit_LCIA=2818472.810 kg CO2e
S3_static_2025,S3 grid trajectory,static_2025,16204082.192701029,30678700.61232383,14474618.419622803,47.18132818770119,Brightway total rerun with background override,"ecoinvent_2025_SSP2-PkBudg1000,ecoinvent_2025_SSP2-PkBudg1000,ecoinvent_2025_SSP2-PkBudg1000,ecoinvent_2025_SSP2-PkBudg1000,ecoinvent_2025_SSP2-PkBudg1000"
S6_GWP20,S6 dynamic metric,GWP20,6456041.349627592,6638146.200123732,182104.8504961403,2.743308824574336,Brightway total rerun with dynamic GWP20,horizon_years=20
BASE,Base,base,7398603.588271715,13124100.638592912,5725497.050321197,43.62582403158904,accepted non-B6 plus current Brightway B6 wrapper diagnostic,"Common FU: 37 buildings, 89,374,805.789 kWh_th, 50 years; base rebased to current Brightway B6 wrappers."
S3_NPi,S3 grid trajectory,NPi,6759581.482280241,11959131.223474242,5199549.7411940005,43.47765438837188,Brightway total rerun with foreground remapped to SSP2-NPi,"ecoinvent_2025_SSP2-NPi,ecoinvent_2040_SSP2-NPi,ecoinvent_2045_SSP2-NPi,ecoinvent_2050_SSP2-NPi,ecoinvent_2055_SSP2-NPi"
S5_40yr,S5 service life,40 yr,6338353.074038409,11010495.83600852,4672142.76197011,42.43353643248673,Brightway total rerun with cloned replacement/EOL timing foreground,Non-B6 replacement and final EOL links retimed; B6 and FU denominator remain the 50-year delivered-service base. 
S5_60yr,S5 service life,60 yr,6384398.076983405,11031313.652313348,4646915.575329943,42.12477064647192,Brightway total rerun with cloned replacement/EOL timing foreground,Non-B6 replacement and final EOL links retimed; B6 and FU denominator remain the 50-year delivered-service base. 
