stage,case,metric_family,metric_key,metric_display_name,method_mode,unit,score_case_total
C,GEN,climate,climate_static,Global warming impact,conventional_static,kg CO2e,-137384.93718424183
C,GEN,climate,climate_static,Global warming impact,time_explicit_static,kg CO2e,-132509.73495349925
C,GEN,climate,dynamic_GWP100,Global warming impact,dynamic_climate,kg CO2e,-77213.2826123176
C,GEN,climate,dynamic_RF,Radiative forcing,dynamic_climate,W*yr/m^2,-6.838300226637003e-09
C,GEN,non_climate,acidification,Acidification,conventional_static,kg SO2 eq,-65.1916566103814
C,GEN,non_climate,acidification,Acidification,time_explicit_static,kg SO2 eq,-49.33625369858759
C,GEN,non_climate,eutrophication,Eutrophication,conventional_static,kg N eq,-17.423282766757268
C,GEN,non_climate,eutrophication,Eutrophication,time_explicit_static,kg N eq,-15.869674647031117
C,GEN,non_climate,ozone_depletion,Ozone Depletion,conventional_static,kg CFC-11 eq,-0.0025552692355612
C,GEN,non_climate,ozone_depletion,Ozone Depletion,time_explicit_static,kg CFC-11 eq,-0.0025584445596158
C,GEN,non_climate,particulate_matter,Particulate Matter Formation,conventional_static,kg PM2.5 eq,-7.161819394338468
C,GEN,non_climate,particulate_matter,Particulate Matter Formation,time_explicit_static,kg PM2.5 eq,-5.502561733140272
C,GEN,non_climate,photochemical_oxidant_formation,Photochemical Oxidant Formation,conventional_static,kg O3 eq,-1332.885099251753
C,GEN,non_climate,photochemical_oxidant_formation,Photochemical Oxidant Formation,time_explicit_static,kg O3 eq,-1151.7880479496084
C,GEN,non_climate,fossil_energy_demand,Fossil Energy Demand,conventional_static,MJ,-194674.88951480348
C,GEN,non_climate,fossil_energy_demand,Fossil Energy Demand,time_explicit_static,MJ,-146045.37904512868
C,BAU,climate,climate_static,Global warming impact,conventional_static,kg CO2e,320947.1104353655
C,BAU,climate,climate_static,Global warming impact,time_explicit_static,kg CO2e,321116.6365731877
C,BAU,climate,dynamic_GWP100,Global warming impact,dynamic_climate,kg CO2e,-366.6662833591865
C,BAU,climate,dynamic_RF,Radiative forcing,dynamic_climate,W*yr/m^2,-3.247335230111405e-11
C,BAU,non_climate,acidification,Acidification,conventional_static,kg SO2 eq,-2.674587904949547
C,BAU,non_climate,acidification,Acidification,time_explicit_static,kg SO2 eq,-2.3738895468645524
C,BAU,non_climate,eutrophication,Eutrophication,conventional_static,kg N eq,-0.4828215682329975
C,BAU,non_climate,eutrophication,Eutrophication,time_explicit_static,kg N eq,-0.3911670712163494
C,BAU,non_climate,ozone_depletion,Ozone Depletion,conventional_static,kg CFC-11 eq,-1.2425243667561472e-05
C,BAU,non_climate,ozone_depletion,Ozone Depletion,time_explicit_static,kg CFC-11 eq,-1.3890205337177236e-05
C,BAU,non_climate,particulate_matter,Particulate Matter Formation,conventional_static,kg PM2.5 eq,-0.3835007488263164
C,BAU,non_climate,particulate_matter,Particulate Matter Formation,time_explicit_static,kg PM2.5 eq,-0.3514093184011916
C,BAU,non_climate,photochemical_oxidant_formation,Photochemical Oxidant Formation,conventional_static,kg O3 eq,-67.02377903046616
C,BAU,non_climate,photochemical_oxidant_formation,Photochemical Oxidant Formation,time_explicit_static,kg O3 eq,-62.15708380736597
C,BAU,non_climate,fossil_energy_demand,Fossil Energy Demand,conventional_static,MJ,-9480.47706130996
C,BAU,non_climate,fossil_energy_demand,Fossil Energy Demand,time_explicit_static,MJ,-7433.739281415725
