stage,case,metric_family,metric_key,metric_display_name,method_mode,unit,score_case_total
total,BAU,climate,climate_static,Global warming impact,conventional_static,kg CO2e,33267681.50518282
total,BAU,climate,climate_static,Global warming impact,time_explicit_static,kg CO2e,8611516.779424174
total,BAU,climate,dynamic_GWP100,Global warming impact,dynamic_climate,kg CO2e,11031284.955690587
total,BAU,climate,dynamic_RF,Radiative forcing,dynamic_climate,W*yr/m^2,9.769723014024835e-07
total,BAU,non_climate,acidification,Acidification,conventional_static,kg SO2 eq,91735.08888805089
total,BAU,non_climate,acidification,Acidification,time_explicit_static,kg SO2 eq,25712.914882482608
total,BAU,non_climate,eutrophication,Eutrophication,conventional_static,kg N eq,9978.169842472416
total,BAU,non_climate,eutrophication,Eutrophication,time_explicit_static,kg N eq,3039.60400840716
total,BAU,non_climate,ozone_depletion,Ozone Depletion,conventional_static,kg CFC-11 eq,1.802221083036863
total,BAU,non_climate,ozone_depletion,Ozone Depletion,time_explicit_static,kg CFC-11 eq,1.7875928574841562
total,BAU,non_climate,particulate_matter,Particulate Matter Formation,conventional_static,kg PM2.5 eq,11545.52148207658
total,BAU,non_climate,particulate_matter,Particulate Matter Formation,time_explicit_static,kg PM2.5 eq,3011.945257370027
total,BAU,non_climate,photochemical_oxidant_formation,Photochemical Oxidant Formation,conventional_static,kg O3 eq,1042995.507642139
total,BAU,non_climate,photochemical_oxidant_formation,Photochemical Oxidant Formation,time_explicit_static,kg O3 eq,297573.0593628159
total,BAU,non_climate,fossil_energy_demand,Fossil Energy Demand,conventional_static,MJ,397317972.47441256
total,BAU,non_climate,fossil_energy_demand,Fossil Energy Demand,time_explicit_static,MJ,153093149.9262639
