stage,case,metric_family,metric_key,metric_display_name,method_mode,unit,score_case_total
total,GEN,climate,climate_static,Global warming impact,conventional_static,kg CO2e,18556388.52941353
total,GEN,climate,climate_static,Global warming impact,time_explicit_static,kg CO2e,6239948.673002476
total,GEN,climate,dynamic_GWP100,Global warming impact,dynamic_climate,kg CO2e,6353957.052160242
total,GEN,climate,dynamic_RF,Radiative forcing,dynamic_climate,W*yr/m^2,5.627304587992958e-07
total,GEN,non_climate,acidification,Acidification,conventional_static,kg SO2 eq,74122.7628680859
total,GEN,non_climate,acidification,Acidification,time_explicit_static,kg SO2 eq,40820.82608033341
total,GEN,non_climate,eutrophication,Eutrophication,conventional_static,kg N eq,8534.963402491689
total,GEN,non_climate,eutrophication,Eutrophication,time_explicit_static,kg N eq,5058.987919191988
total,GEN,non_climate,ozone_depletion,Ozone Depletion,conventional_static,kg CFC-11 eq,0.9394996603845324
total,GEN,non_climate,ozone_depletion,Ozone Depletion,time_explicit_static,kg CFC-11 eq,0.931007404066895
total,GEN,non_climate,particulate_matter,Particulate Matter Formation,conventional_static,kg PM2.5 eq,9683.513066890422
total,GEN,non_climate,particulate_matter,Particulate Matter Formation,time_explicit_static,kg PM2.5 eq,5410.254272235212
total,GEN,non_climate,photochemical_oxidant_formation,Photochemical Oxidant Formation,conventional_static,kg O3 eq,1326749.4290279425
total,GEN,non_climate,photochemical_oxidant_formation,Photochemical Oxidant Formation,time_explicit_static,kg O3 eq,954229.2895305738
total,GEN,non_climate,fossil_energy_demand,Fossil Energy Demand,conventional_static,MJ,196663017.1594282
total,GEN,non_climate,fossil_energy_demand,Fossil Energy Demand,time_explicit_static,MJ,76835875.36970013
